Date,close,YLD_CNV_LAST
2017-10-13,102.348,6.67
2017-10-16,102.157,6.686
2017-10-17,103.773,6.549
2017-10-18,103.182,6.599
2017-10-19,103.552,6.568
2017-10-20,102.87,6.625
2017-10-23,103.033,6.611
2017-10-24,101.895,6.709
2017-10-25,101.698,6.726
2017-10-26,100.9,6.795
2017-10-27,100.642,6.817
2017-10-30,101.866,6.711
2017-10-31,102.006,6.699
2017-11-01,101.65,6.73
2017-11-02,102.031,6.697
2017-11-03,101.938,6.705
2017-11-06,102.137,6.688
2017-11-07,101.778,6.719
2017-11-08,100.497,6.83
2017-11-09,100.521,6.828
2017-11-10,99.566,6.912
2017-11-13,99.54,6.915
2017-11-14,100.593,6.822
2017-11-15,100.102,6.865
2017-11-16,101.129,6.775
2017-11-17,101.635,6.731
2017-11-20,101.555,6.738
2017-11-21,102.163,6.685
2017-11-22,102.619,6.646
2017-11-24,102.763,6.634
2017-11-27,103.878,6.54
2017-11-28,103.693,6.556
2017-11-29,102.892,6.623
2017-11-30,101.853,6.712
2017-12-01,101.466,6.746
2017-12-04,101.845,6.713
2017-12-05,102.703,6.639
2017-12-06,102.219,6.681
2017-12-07,100.799,6.804
2017-12-08,101.299,6.76
2017-12-11,101.146,6.773
2017-12-12,100.488,6.831
2017-12-13,100.989,6.787
2017-12-14,101.948,6.704
2017-12-15,101.588,6.735
2017-12-18,101.758,6.72
2017-12-19,101.09,6.778
2017-12-20,101.194,6.769
2017-12-21,101.811,6.716
2017-12-22,101.413,6.75
2017-12-26,102.062,6.694
2017-12-27,101.364,6.755
2017-12-28,101.529,6.74
2017-12-29,101.892,6.709
2018-01-02,101.791,6.718
2018-01-03,103.86,6.542
2018-01-04,104.209,6.512
2018-01-05,104.02,6.528
2018-01-08,102.837,6.628
2018-01-09,102.052,6.695
2018-01-10,102.608,6.648
2018-01-11,102.565,6.651
2018-01-12,102.695,6.64
2018-01-16,102.691,6.641
2018-01-17,101.789,6.718
2018-01-18,101.27,6.763
2018-01-19,99.834,6.89
2018-01-22,100.046,6.871
2018-01-23,100.992,6.787
2018-01-24,101.592,6.735
2018-01-25,103.654,6.559
2018-01-26,103.96,6.533
2018-01-29,103.305,6.588
2018-01-30,102.6,6.648
2018-01-31,103.107,6.605
2018-02-01,101.995,6.7
2018-02-02,101.298,6.76
2018-02-05,101.259,6.764
2018-02-06,99.819,6.891
2018-02-07,100.626,6.819
2018-02-08,98.286,7.029
2018-02-09,95.005,7.336
2018-02-12,97.477,7.103
2018-02-13,97.05,7.143
2018-02-14,95.994,7.242
2018-02-15,97.939,7.06
2018-02-16,99.692,6.902
2018-02-20,98.664,6.994
2018-02-21,97.71,7.081
2018-02-22,97.757,7.077
2018-02-23,97.924,7.062
2018-02-26,98.536,7.006
2018-02-27,98.613,6.999
2018-02-28,98.157,7.04
2018-03-01,96.866,7.16
2018-03-02,96.512,7.193
2018-03-05,97.128,7.135
2018-03-06,97.319,7.118
2018-03-07,97.007,7.147
2018-03-08,96.883,7.158
2018-03-09,97.187,7.13
2018-03-12,97.774,7.076
2018-03-13,97.403,7.11
2018-03-14,97.089,7.139
