Date,close
2019-07-29,113.187
2019-07-30,113.088
2019-07-31,113.412
2019-08-01,113.689
2019-08-02,113.646
2019-08-05,112.921
2019-08-06,113.717
2019-08-07,112.522
2019-08-08,114.702
2019-08-09,113.329
2019-08-12,113.725
2019-08-13,113.113
2019-08-14,113.682
2019-08-15,113.274
2019-08-16,113.29
2019-08-19,113.346
2019-08-20,113.531
2019-08-21,113.658
2019-08-22,113.661
2019-08-23,114.321
2019-08-26,113.67
2019-08-27,114.55
2019-08-28,113.736
2019-08-29,114.43
2019-08-30,114.702
2019-09-03,114.438
2019-09-04,115.121
2019-09-05,115.471
2019-09-06,115.658
2019-09-09,116.936
2019-09-10,115.481
2019-09-11,115.676
2019-09-12,115.743
2019-09-13,114.462
2019-09-16,114.615
2019-09-17,115.371
2019-09-18,115.398
2019-09-19,115.914
2019-09-20,116.984
2019-09-23,116.026
2019-09-24,116.468
2019-09-25,115.059
2019-09-26,115.859
2019-09-27,115.931
2019-09-30,116.05
2019-10-01,115.525
2019-10-02,115.073
2019-10-03,115.681
2019-10-04,115.691
2019-10-07,115.733
2019-10-08,115.14
2019-10-09,115.499
2019-10-10,115.396
2019-10-11,116.11
2019-10-15,115.635
2019-10-16,115.908
2019-10-17,115.896
