Date,PX_LAST,YLD_CNV_LAST
15/09/2020,115.116,5.586
14/09/2020,115.641,5.546
11/09/2020,115.51,5.556
10/09/2020,115.233,5.577
09/09/2020,114.995,5.596
08/09/2020,113.495,5.713
04/09/2020,114.085,5.667
03/09/2020,115.053,5.592
02/09/2020,115.227,5.579
01/09/2020,115.34,5.57
31/08/2020,113.395,5.722
28/08/2020,113.217,5.736
27/08/2020,112.355,5.804
26/08/2020,112.998,5.753
25/08/2020,113.177,5.739
24/08/2020,114.022,5.673
21/08/2020,113.831,5.688
20/08/2020,113.822,5.689
19/08/2020,113.908,5.682
18/08/2020,114.163,5.663
17/08/2020,113.21,5.738
14/08/2020,113.797,5.691
13/08/2020,114.926,5.604
12/08/2020,114.323,5.651
11/08/2020,116.233,5.504
10/08/2020,115.421,5.566
07/08/2020,112.852,5.767
06/08/2020,113.683,5.701
05/08/2020,112.442,5.8
04/08/2020,111.839,5.848
03/08/2020,111.476,5.877
31/07/2020,110.873,5.926
30/07/2020,110.412,5.963
29/07/2020,111.194,5.9
28/07/2020,110.761,5.935
27/07/2020,110.674,5.942
24/07/2020,110.571,5.951
23/07/2020,109.976,6
22/07/2020,110.789,5.934
21/07/2020,110.608,5.948
20/07/2020,108.708,6.105
17/07/2020,107.324,6.221
16/07/2020,106.475,6.294
15/07/2020,106.324,6.307
14/07/2020,105.609,6.369
13/07/2020,106.939,6.254
10/07/2020,106.091,6.327
09/07/2020,106.678,6.277
08/07/2020,106.281,6.311
07/07/2020,106.603,6.283
06/07/2020,107.96,6.168
02/07/2020,108.737,6.103
01/07/2020,106.985,6.251
30/06/2020,105.1,6.413
29/06/2020,105.824,6.35
26/06/2020,106.784,6.268
25/06/2020,106.748,6.271
24/06/2020,105.906,6.343
23/06/2020,107.501,6.207
22/06/2020,105.577,6.372
19/06/2020,107.103,6.241
18/06/2020,106.077,6.329
17/06/2020,106.516,6.291
16/06/2020,107.004,6.249
15/06/2020,106.318,6.308
12/06/2020,107.227,6.23
11/06/2020,105.025,6.42
10/06/2020,108.676,6.109
09/06/2020,108.689,6.108
08/06/2020,110.626,5.949
05/06/2020,108.49,6.125
04/06/2020,106.367,6.304
03/06/2020,107.668,6.194
02/06/2020,104.02,6.508
01/06/2020,102.118,6.679
29/05/2020,101.631,6.723
28/05/2020,102.032,6.687
27/05/2020,102.636,6.632
26/05/2020,103.029,6.597
22/05/2020,100.924,6.788
21/05/2020,101.677,6.719
20/05/2020,100.227,6.853
19/05/2020,97.107,7.15
18/05/2020,98.895,6.978
15/05/2020,95.648,7.294
14/05/2020,95.334,7.325
13/05/2020,95.008,7.358
12/05/2020,96.927,7.167
11/05/2020,97.169,7.144
08/05/2020,96.326,7.226
07/05/2020,95.72,7.286
06/05/2020,93.802,7.48
05/05/2020,97.408,7.12
04/05/2020,96.26,7.233
01/05/2020,98.021,7.061
30/04/2020,99.328,6.937
29/04/2020,95.954,7.263
28/04/2020,92.638,7.6
27/04/2020,90.415,7.836
24/04/2020,91.13,7.759
23/04/2020,95.32,7.326
22/04/2020,95.393,7.318
21/04/2020,95.66,7.292
20/04/2020,98.912,6.976
17/04/2020,104.055,6.506
16/04/2020,101.246,6.758
15/04/2020,100.793,6.8
14/04/2020,104.499,6.467
13/04/2020,101.852,6.703
09/04/2020,101.46,6.739
08/04/2020,95.917,7.266
07/04/2020,97.909,7.072
06/04/2020,95.074,7.35
03/04/2020,95.632,7.294
02/04/2020,96.798,7.179
01/04/2020,93.038,7.557
31/03/2020,97.737,7.088
30/03/2020,95.674,7.29
27/03/2020,98.386,7.026
26/03/2020,98.572,7.008
25/03/2020,92.573,7.605
24/03/2020,86.379,8.284
23/03/2020,79.723,9.1
20/03/2020,82.937,8.694
19/03/2020,79.046,9.188
18/03/2020,76.955,9.47
17/03/2020,90.788,7.793
16/03/2020,93.542,7.505
13/03/2020,102.239,6.669
12/03/2020,96.367,7.221
11/03/2020,108.056,6.165
10/03/2020,113.912,5.695
09/03/2020,114.018,5.687
06/03/2020,124.353,4.936
05/03/2020,126.023,4.823
04/03/2020,127.532,4.723
03/03/2020,127.067,4.754
02/03/2020,122.37,5.074
28/02/2020,120.696,5.193
27/02/2020,122.406,5.072
26/02/2020,125.919,4.832
25/02/2020,127.732,4.712
24/02/2020,128.58,4.656
21/02/2020,129.029,4.627
